Department,Term,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,SemesterLength,Building,RoomNumber,MeetingStart,MeetingDurationMinutes,MeetingEnd,ShortTitle,Faculty,SectionStatus,InstructionalMethod,DeliveryMode,Comments,LastEditTimestamp
"Computer Science",SP,"DATA",103,B,100,2, 2,"SB 372","TTH","12:15PM - 1:55PM",,,Second,"SB","372","12:15 PM","100","1:55 PM","Exploratory Data Science and Analytics","Brenda VanderLinden","Active","LEC","","","2022-09-13T16:18:28-04:00"
"Computer Science",FA,"DATA",103,C,100,2, 2,"SB 372","TTH","2:10PM - 3:50PM",,,Second,"SB","372","2:10 PM","100","3:50 PM","Exploratory Data Science and Analytics","Brenda VanderLinden","Active","LEC","","","2022-09-13T16:13:30-04:00"
"Computer Science",SP,"DATA",103,C,100,2, 2,"SB 372","TTH","2:10PM - 3:50PM",,,Second,"SB","372","2:10 PM","100","3:50 PM","Exploratory Data Science and Analytics","Brenda VanderLinden","Active","LEC","","","2022-09-13T16:18:33-04:00"
"Computer Science",FA,"DATA",103,D,100,2, 2,"SB 372","TTH","6:30PM - 8:10PM",,,Second,"SB","372","6:30 PM","100","8:10 PM","Exploratory Data Science and Analytics","Jim Momeyer","Active","LEC","","","2022-09-13T16:13:35-04:00"
"Computer Science",SP,"DATA",103,D,100,2, 2,"SB 372","TTH","6:30PM - 8:10PM",,,Second,"SB","372","6:30 PM","100","8:10 PM","Exploratory Data Science and Analytics","Jim Momeyer","Active","LEC","","","2022-09-13T16:18:38-04:00"
"Computer Science",FA,"DATA",202,A,200,4, 4,"SB 372
NH 253","MWF
MWF","8:00AM - 9:05AM
8:00AM - 9:05AM",,,Full,"SB
NH","372
253","8:00 AM
8:00 AM","65
65","9:05 AM
9:05 AM","Predictive Analytics","Kenneth C Arnold","","","","","2022-12-09T17:36:37-05:00"
"Computer Science",FA,"DATA",202,B,200,4, 4,"NH 253","MWF","9:15AM - 10:20AM",,,Full,"NH","253","9:15 AM","65","10:20 AM","Predictive Analytics","Fernando Pasquini Santos","","LEC","","","2022-11-25T12:06:59-05:00"
"Computer Science",FA,"DATA",396,A,300,2, 0,"SB 382","T","6:30PM - 7:20PM",,,Full,"SB","382","6:30 PM","50","7:20 PM","Senior Project in Data Science","Kenneth C Arnold","","LEC","","","2022-11-25T16:03:13-05:00"
"Computer Science",SP,"DATA",398,A,300,2, 0,"SB 382","T","6:30PM - 7:20PM",,,Full,"SB","382","6:30 PM","50","7:20 PM","Senior Project in Data Science II","Kenneth C Arnold","","LEC","","","2022-11-25T16:03:29-05:00"
"Computer Science",FA,"DATA",501,A,500,2, 2,"","","",,,First,"","","","","","Data Wrangling","Staff","","","","","2022-11-24T12:35:39-05:00"
"Computer Science",FA,"DATA",502,A,500,2, 2,"","","",,,Second,"","","","","","Introduction to Machine Learning","Staff","","","","","2022-11-24T12:36:48-05:00"
"Computer Science",SP,"DATA",510,A,500,2, 2,"","","",,,First,"","","","","","Ethics for Data Science","Fernando Pasquini Santos","","On-line","","","2022-11-24T12:32:13-05:00"
"Computer Science",SP,"DATA",562,A,500,4, 4,"","","",,,Full,"","","","","","Systems Engineering for Data Science","Keith VanderLinden","","","","","2022-11-24T12:33:33-05:00"
"Computer Science",SP,"DATA",654,A,600,2, 2,"","","",,,First,"","","","","","Database Management Systems","Patrick Bailey","","","","","2022-11-24T12:38:36-05:00"
"Computer Science",SP,"DATA",675,A,600,2, 2,"","","",,,First,"","","","","","Introduction to Deep Learning","Kenneth C Arnold","","","","","2022-11-24T12:39:51-05:00"
"Computer Science",SP,"DATA",676,A,600,2, 2,"","","",,,Second,"","","","","","Deep Learning for Text and Generative Models","Kenneth C Arnold","","On-line","","","2022-11-24T12:40:54-05:00"
"Computer Science",SU,"DATA",696,A,600,2, 2,"","","",,,Full,"","","","","","Project in Data Science","Staff","","On-line","","","2022-11-24T12:52:05-05:00"
"Geography",SP,"GEO",566,A,500,5, 5,"","","",,,Full,"","","","","","Spatial Programming and Data Management ","Patrick Bailey","Active","LEC","","","2022-06-10T13:39:01-04:00"
"Shadow",SP,"CS",339-S,A-S,300,0, 0,"SB 354","MWF","9:15AM - 10:20AM",,,Second,"SB","354","9:15 AM","65","10:20 AM","System Administration: Cloud Services","Shadow-Maroon","","","","","2022-12-09T17:46:16-05:00"
"Shadow",SP,"CS",354-S,A-S,300,0, 0,"SB 372","MWF","11:00AM - 12:05PM",,,First,"SB","372","11:00 AM","65","12:05 PM","Database Management Systems","Shadow-Maroon","","","","","2022-12-09T18:10:48-05:00"
"Shadow",FA,"CS",372-S,A-S,300,0, 0,"SB 354
SB 354","MWF
MWF","9:15AM - 10:20AM
9:15AM - 10:20AM",,,First,"SB
SB","354
354","9:15 AM
9:15 AM","65
65","10:20 AM
10:20 AM","Advanced Networking","Shadow-Gold","","","","","2022-12-09T17:29:13-05:00"
"Shadow",SP,"CS",372-S,A-S,300,0, 0,"SB 354
SB 372","MWF
MWF","9:15AM - 10:20AM
11:00AM - 12:05PM",,,First,"SB
SB","354
372","9:15 AM
11:00 AM","65
65","10:20 AM
12:05 PM","Artificial Intelligence","Shadow-Maroon","","","","","2022-12-09T18:04:52-05:00"
"Shadow",SP,"CS",372-S,A-S,300,0, 0,"SB 354","MWF","12:15PM - 1:20PM",,,First,"SB","354","12:15 PM","65","1:20 PM","Computer Graphics","Shadow-Gold","","","","","2022-12-09T18:07:07-05:00"
"Shadow",FA,"CS",374-S,A-S,300,0, 0,"SB 354","MWF","9:15AM - 10:20AM",,,Second,"SB","354","9:15 AM","65","10:20 AM","High-Performance Computing","Shadow-Gold","","","","","2022-12-09T17:43:38-05:00"
"Shadow",SP,"CS",3756-S,A-S,300,0, 0,"SB 372","MWF","11:00AM - 12:05PM",,,Second,"SB","372","11:00 AM","65","12:05 PM","Machine Learning","Shadow-Maroon","","","","","2022-12-09T18:06:45-05:00"
"Shadow",FA,"DATA",202-S,A-S,200,0, 0,"SB 354","MWF","8:00AM - 9:05AM",,,Full,"SB","354","8:00 AM","65","9:05 AM","Predictive Analytics","Shadow-Maroon","","","","","2022-12-09T17:58:49-05:00"
"Shadow",FA,"DATA",202-S,B-S,200,0, 0,"SB 372","MWF","9:15AM - 10:20AM",,,Full,"SB","372","9:15 AM","65","10:20 AM","Predictive Analytics","Shadow-Maroon","","","","","2022-12-09T18:02:46-05:00"
